,summary
416,Working as a Data Scientist in Ford after graduating from Rackham Graduate School  
417,machine learning  predictive modeling  deep learning  artificial intelligence  hadooo  spark  java         python  scala  
419,My background in the physical sciences and programming has given me the tools to apply sophisticated analytical techniques to complicated problems  am a data scientist and analyst with an understanding of mathematics and statistical models nalyzing  understanding  and communicating about data makes me happy and   am passionate about finding insights in data and building data products to meet the needs of an organization  come from a background in physics and astronomy and have worked in academia and ed tech before moving into data science y experience in the physical sciences and education has given me a solid foundation for using data to answer interesting questions  and then communicating those findings to decision makers  work effectively in both independent and collaborative environments    learn new skills and subjects quickly  and   have proven writing and speaking abilities  LLS AND TOOLS   quantitative research  data analysis  and numerical modeling   R  SQL  a bit of Python and C   Github  Markdown  shell scripting  Linux   writing and speaking for technical and general audiences   
420,Currently studying at NYC Data Science Academy looking for opportunities in Data Science and or        Data Analytics roles   
421,A passionate Statistician Data Scientist with 2 year professional experience roven ability to deliver valuable insights via statistical analytics and advanced data driven methods Please feel free to        contact me via kairui li gwu u or 202 8189691 if you are interested   
422,Analytics experiences across online advertising  online retail  e commerce  industries assionate about data ustomer obsessed  Specialties  Big Data Analytics  Tableau  SQL  Amazon Redshift  Competitive  ntelligence  Design KP  s for new business  Client Account Management  Business Development  Mining and Farming   Market Research  HR   Compensation & Benefits Benchmarking  Location and Talent Pool Studies   
423,Experienced with predictive models  machine learning algorithms  statistical analysis methods       Proficient in Python  R  SAS Certificated Advanced level   SQL  Spark  Hadoop   
424,Bringing Machine Learning knowledge and techniques to the US healthcare  especially to the world of        Risk Adjustment   
425,🌐kxphan m  
426,Experienced Data Scientist with MS in molecular biology using Python to employ machine learning algorithms for cognitive computing  A   predictive analysis and exploration within the medical space Languages & Frameworks Python  pandas  scikit learn  scrapy  gensim  flask    R  dplyr  ggplot2  shiny  caret    Elastic Search   SQL   Spark   MongoDB Machine Learning Techniques GLM   Classification   NLP   W2V   TF  DF   D2V   LDA   SVM   Random Forest   GBM   XGBoost   PCA   Clustering   Deep Learning   Neural Networks   
427,Hands on Experience in Big Data  Machine Learning  Data Mining and  nformation Retrieval  Statistical and Probabilistic Modeling & Optimization  Pricing & Revenue Management and Supply Chain        Management  Operations Research   
428,  am a data scientist   statistician   lifelong learner seeking opportunities in Data Science UMMARYSubject  Statistical Analysis  Predictive Analysis  Data Science  Probability  Mathematics  GermanMethods  Statistical Analysis Modeling  Predictive Modeling  Probability  Linear Regression  Multivariate Regression  Principal Component Analysis  Classification  Generalized Linear Models  Discriminant Analysis  Logistic Regression  Decision Trees   Clustering  K means  Hierarchical clustering   Data Cleaning  Missing Data   mputation Code  SQL  R  SAS  Unix Linux   
429,Data scientist with comprehensive background in data science project and service delivery for large organizations  and have been a crucial individual in projects that have dramatically increased revenue and streamlined efficiency ’m a leader who is also comfortable taking part in projects as a team member ’m able to prioritize workflow and identify high impact insights  driven professional   ’m also a dedicated researcher and a strong communicator ecialties  Statistics  machine learning  deep learning  neural networks   
431,    have a computer science master from UChicago and hold a Ph in neuroscience at Penn State y whole academic career was to work with data and to translate data into meaningful results   Now        working in tech industry    am passionate about data and analytics that can drive business decisions      
432, STAY ACT VE FOREVER ​ Focus in QUANT  Diverse in LEADERSH P My extensive coursework in Computer Engineering built a solid programming and numerical foundation for me s a quick learner  my strategic problems analyzing skills make me a creative and efficient problem solver s a fitness instructor  leading different sports team across the globe makes me proficient in managing relationship and hones my multitasking skills  routinely work internationally in teams with software  hardware  engineering and marketing to drive for results  served as a subject matter expertise to oversee the science side of projects  will be able to communicate effectively and work efficiently in team hey have also equipped me with the unique abilities to be process driven and strategic  yet flexible and innovative y mutil cultural background of Korea Taiwan and America and my creativity  entrepreneurial spirit as well as proven ability to flourish in dynamic  fast paced environments are consistent with the qualities of leadership  which inspire me to STAY ON  T to STAY  N  T  
434,Self motivated Computer  nformation Systems and Finance graduate with extensive leadership and teamwork experience who thrives in fast paced environments esults driven  analytical thinker with proficient knowledge in relational databases and SQL queries ctively engaged in expanding technological expertise to solve business problems  where solutions require creativity and critical thinking Developed exceptional interpersonal communication skills  both written and oral  while being student athlete in college as a part of Men’s Basketball Team  in addition to a full time academic schedule  
435,Data scientist with a strong quantitative and technical background in physics and programming our years  experience in business intelligence and data science  and four years  experience in data analytical heavy coding and research    designing my own analytical tools  handling large sets of data  tens of millions of unique data points   and switching languages as needed ackground in physics demanded high aptitude at solving complex  abstract analytical problems  allowing me to draw connections that were not readily apparent between concepts with ease roficient in python  SQL  and C  but comfortable in a host of other languages  and adaptable to any language in which   lack experience  
436,1 assionate about new technology 2 asters in Computer science at University of Colorado  Boulder 3 pecialized in Machine Learning  Deep Learning  Neural Networks  Natural Language Processing 4       Worked on projects related to the above fields 5   years of experience in Data Analytics industry  
437,PhD in Electrical Engineering with strong publication record ork experience of 2  years in a fast paced tech start up esults oriented  having already developed 5  systems enhancing company’s core technology tensive experience in Machine Learning  Statistics  Signal Processing  Optimization  Computer Vision  and Data Analysis roficient in Python  C C    Matlab  Git  Bash  Javascript  Html CSS xperience working with large datasets  natural language processing  and time series st learner of new technologies and programming languages assionate about designing efficient algorithms to solve difficult problems  
438,Experienced data science and consulting professional with diverse skills  ranging from strategic planning to complex quantitative analysis appily employed at the  BM Center for Advanced Analytics f you want to join me  send your resume to mfreeman us m m pecialties  Statistical analysis  mathematical modeling  public financial management  group process facilitation  project management   
439,  am a data scientist with an electrical engineering background and five years of work experience solving real world technical problems  usually do my data analysis in Python  Scikit Learn  Pandas  Matplotlib   side projects include analyzing microfinance loans on kiva g to identify the features that predict which loans will get funded n my current role    m helping small companies identify which of their customers are likely to churn and which are likely to make purchases  m interested in opportunities to use my machine learning and analysis skills to find valuable insights from data y skills include   Databases  PostgreSQL  MySQL  MongoDB  Python  Pandas  Numpy  Scikit learn  StatsModels  NLTK  Matplotlib  Machine Learning  Linear and Logistic Regression  Random Forests  Boosting  SVM  Naive Bayes  clustering  dimensionality reduction  NLP  Recommenders  Scalability  Map Reduce  GraphLab  AWS  Spark  Statistics  A B testing  Multi Armed Bandit  Bayesian  nference  Hypothesis testingRead more at MattLichti m   
441,  have been working in Security and Security related fields since   obtained my MSc in Cryptography in 2011 or the last years    have applied graph analytics and machine learning techniques to a range of problems in health care  social networks and network security first at the center for data science of the University of Washington and now at  nfoblox as a data scientist y works have resulted in patent applications and publications and presentations in prestigious venues  including N PS  the computer journal of the British Computing Society and ACM conferences  am also experienced in cryptography  anomaly detection and behavioral analytics                                                                                  mayanapereira m   
443,My work is focused on efficiently extracting information from large data sets  synthesising concepts from cosmology  astrophysics  statistics and computer science to better understand our Universe y research focuses on a new data analysis strategy  called  sufficient statistics  which  by design  extract all the available cosmological information from large astronomical data sets m looking to leverage my technical skills from my research to engage with impactful problems in the industry developed several side projects to start my transition from academia to data science or more information check out my website  melodywolk rdpress m   
445,  3 year data analytics experience roficient in using analytical tools such as R  Tableau  SQL  Hadoop  Excel  Oracle 11g  SQL Server  SS S  SSAS  OLAP  PostgreSQL and Talend 4 year business analysis and project management experience at the biggest TV station in China on an advertisement sales and scheduling system  ERP  and a business intelligence project    2 year software development experience with relational databases  familiar with Java Completed a wide range of data analytics projects including database design  data warehousing  data mining algorithms  data visualization  customer churn analysis  pricing  optimization  linear programming and business solutions Excellent communication skills with people at different levels in different functions  
446,   14 year hands on experience in data acquisition  data analysis  and user interface development     4 year experience in oil and gas industry     Published 15 peer reviewed papers with 800  citations         and gave 7 presentations at national   international conferences  
447,  do Data Science because it s fun inished my Bachelor s in Mathematics & Economics in 2016 and have completed one Udacity Nanodegree every year since orn in Guangzhou and educated across Toronto  San Diego  and London ove traveling  creating  competing  and reading rrently building one of the most exciting products in AdTech as a Data Scientist at CAKE  genuinely believe   have the greatest job in the world he math is fascinating  the programming is rewarding  and the industry research always makes you feel like an expert  if only temporarily  when you re done  my free time   like to travel to foreign countries and do things that make for great stories later aving recently moved to Newport Beach    ve also started dabbling in Kick Boxing  CrossFit  and Spartan Races  all of which have embarrassed me greatly  but also pushed me to new heights y present after hours goals are finishing Udacity s Artificial  ntelligence  my third  Nanodegree and building my out of office engineering portfolio chnical Competencies Scala  Python  R  Apache Spark  TensorFlow  AWS   
449,There is no default future  it s a blank canvas and   will create it with integrity  Analytical thinker  Problem solver   nnovative   Skillset  algorithm development  system identification  machine learning         modeling  data mining  control systems  simulations  optimization Python  MATLAB  Simulink  Latex  
450,Qualifications Solid big data analytical skills in Predictive Modeling  Statistical Learning  E commerce Fraud Detection   Sales Forecasting  BSA AML Compliance   Online Learning algorithm  Credit Fraud Analytics  Credit Risk Modeling  Mobile Security   mage pattern recognition  Software Development  Hadoop MapReduce  Java R Python  HBase Hive Pig  Scala SparkFive years of  experience in using Machine Learning and Data Mining techniques to analyze massive datasets   
451,  am passionate about A   and general machine learning applications  am experienced in statistical analysis  machine learning methods  data mining  data visualization  data management  and server administration  am proficient in Python  C C    SQL  NoSQL  and other tools  also am familiar with java  javascript  matlab  and R ave experience in securing networks including pen testing  and setting up networks for small to medium sized businesses ckground overview  Data Scientist at Bootler  Chicago s food delivery aggregation search engine Attended a 3 month intensive Data Science Bootcamp Engineer at a quantitative hedge fund startup  worked on trading algorithms  predictive models  and a sentiment analysis module    consulting experience  areas spanned network administration  security  and general computer repair  
453,Data Analysis  Machine Learning  Statistical Modeling  
454,  work across data science  product management  and partnerships to develop and build new products to measure advertising success  Facebook y areas of interest include computer vision  program        effectiveness  growth  neuromarketing  and blockchain   
455,Statistics  Probability  Data Analysis  Machine Learning  Data Science  Statistical programming in SAS         S   Python and R   SQL  Hadoop  Map Reduce  Hive  Spark  Mahout  Java  Scala  
456,neo generalist currently focused on natural language  streaming data  and deep learning applications Keen interest in responsible and ethical usage of machine learning here   ve been  Engineering Physics  Visual Arts     Computer Vision & Machine Learning     Data Science & Applied Engineering f art is to comfort the disturbed and disturb the comfortable  analytics enabled measurement of comfort and disturbance achine learning is increasingly being used to predict who can be comforted and who can be disturbed  and how and when to do so to achieve target behaviors ithout art  machine learning is floating in the vacuum of space  
457,Principal Data Scientist with extensive background in data engineering  big data and machine learning 6  years in helping clients evolve data driven practices at different industries roven hand on expertise in ML and Deep Learning Passionate about building innovative solutions and platforms with Artificial  ntelligence and Machine Learning oves coding in Python   
459,Data Scientist and machine learning engineer dabbling at the intersection of data  business outcomes and product development rimarily responsible for turning data into products  actionable insights  and meaningful stories  enable early adopters of GE s industrial  oT platform and enterprise A  to extract maximum value from data by leveraging data science  machine learning  deep learning  statistics and then deliver impactful solutions as cloud based data products have 10 years of proven track record of delivering machine learning  analytics and software solutions successfully within aggressive timelines and across industry verticals re technical competencies  data science  machine learning  deep learning  signal processing  data products  cloud computing  Python  SQL  Spark re ML areas  NLP   mage and Vision   
460,My interests lie in Machine Learning  Data Mining  Neural  nterface Systems and  nformation Retrieval  dream of being able to provide a machine with intelligence that is unique  that has the power to create  refine and reconstruct human ideas  that can augment our own distinctive intelligence and that ultimately hopes to answer Alan Turing s question of  Can Machines think?  motivates my research am keen on working on projects that would analyse and evaluate the working of Recommender Systems  handle Big Data or involve Brain Computer  nterface modelling  
461,Result driven Data Scientist with strong academic foundation in Computer Science and Machine        Learning reinforced by real world business applications   
462,Data scientist passionate about prototyping  simplifying and productionizing advanced A  and machine learning research for practical applications s the only data scientist at Sense360    work on deriving value from real world  alternate data” leading to improvements in core product metrics o do this    have had to perform ETL and cleaning of large scale mobile sensor data from millions of users  build ML models for foot traffic estimation to retail stores  and evaluate integration opportunities with third party data sources y work on data science has been applied to the restaurant   food service  SaaS  energy  oil and gas   manufacturing and cybersecurity industries   previously graduated with a PhD in Computer Science from USC Viterbi  where   worked on time series modeling in energy applications  
463,Using statistics  mathematical modeling and experiments to improve firms and markets tanford PhD         Princeton B   Robert College of  stanbul   
464,Having been utilizing skills in statistics and econometrics  predictive modeling  decision and        optimization  prescriptive  modeling  as well as data management in depth for 5 years’ experience   
465, Strong analytical background with special expertise in Business  ntelligence  Machine Learning  Business Analysis  Data Mining & AWS Extensive experience in database design and maintenance  as well as analytical reporting using SAS  SAS Enterprise Miner and SAS Macro  WEKA  Tableau  R  Python  PySpark  Scala  SQL and EXCEL  Expertise in database platforms such as Redshift  MySQL  Oracle  SQL Server  Expertise in SQL  PL SQL  T SQL 4 years of project experience in building  manipulating and analysing massive datasets according to project specifications using EMR  Spark  R  Python and SAS SQL  Technical expertise in Data Cleansing and Predictive Data Modelling  ndicated a cost saving opportunity of   $50 MM over a year by building a dataset that never existed at Amazon Prevented abnormal activities on Amazon m worth $16 MM in 2 days by building a model to identify and isolate abusive products Worked on projects dealing with billions of records and built scalable solutions to handle the same using AWS & ElasticSearch Engine Architect for building an End to End solution for deep dive reporting platform using ElasticSearch and Kibana Single handedly oversaw a project worth $300 000 funded by Global Water Partnership and supported by World Bank Expertise in working with B  tools such as SAS miner  WEKA  Tableau  R Proficient with most  T application platforms  both desktop and web based  and SQL Server database development  versatile C# T  ASP T  SQL  MVVM  MVC developer with 3 years project experience which includes analysis  design  implementation  support  maintenance  and application development UX U  Designer for multiple projects utilizing Silverlight 5  WPF  T and Photoshop Microsoft Certified in SQL Server 2008 and  TSpecialities  SAS  R   T  Java  Statistical  nference  Machine Learning  Data Mining  Predictive Modeling  Business  ntelligence and Reporting  Data Warehousing  MS Office   
466,  believe that data science helps make our life better  m a self motivated full stack data scientist with 5  years professional and research experience in data science  am also a creative problem solver  collaborative and committed individual and team player mail  qingbinlee[at]gmail[dot]comSpecialities    Analytics  Understanding business problems and building data driven solutions  Machine Learning and Deep Learning  Natural Language Processing & Text Mining  Time Series Analysis  Software Development  working knowledge of Python  Java  JavaScript  PHP  C C     
467,Have a doctor s degree in engineering focused in enzymes  directed evolution  mutagenesis  and structural analysis as a experienced University lecturer with a demonstrated history of working in research industry  and did research about genetic engineering in Western Regional Research Center  USDA as a visiting scholar assionate about finding meaningful insights from data with the latest machine learning models and techniques  and love presenting results of data analysis by storytelling and visualizations   
469,Bio  Raja Alomari  Ph  is a staff data scientist at VMware  Acquired E8 Security  working on threat modeling  anomaly detection  and behavioral analytics t E8 Security  he designed and built an        in production scalable machine learning framework using Python Spark HDFS Parquet leveraging se     
470,A data enthusiast with a strong technical background  good understanding of business & analytics in specific and a pinch of self driven knowledge in design  good team player and a goal oriented  proactive person seeking Full Time opportunities related to the field of Business  ntelligence  Data Mining Analysis  Business Data Warehousing  Database Design and Management Graduate Student at The University of Texas at Dallas in  nformation Technology and Management pecializing in Business  ntelligence  Analytics  Data Mining and Web Analytics  Skilled Professional with almost 3 years of experience in SSRS  SSMS and Tableau for creating reports and dashboards and handling the production database systems and data mining Proficient in SAS Enterprise Miner 13  SAS Base  Business Objects  SQL Server  SQL Server Reporting Service   SAP HANA  SAP SDQ   nformatica  DQ  Oracle 11g and Microsoft Excel  Proficient in Neural Networks  Decision Trees  Regression & Text Mining techniques  Proficient in business analysis  requirement gathering  business process mappingMy core proficiencies are as mentioned below   Analyzing Results  Data Analysis Techniques  Data Filtering  Ad hoc Reports Creation  Data  nterpretation  Problems  dentification  Task Prioritization  Data Mining  Data Visualization  Statistical Modelling and Analysis Technical skills   Programming  C  C    C#  Java  R  Python  Databases  SAP HANA  Oracle 11g  MySQL  SQL Server 2012  Framework  Eclipse  DE  MATLAB  Business Objects Data Analysis   Tools  SAP HANA  SAS Enterprise Miner 13  SAS 9  Google Analytics  SAP BW  R Studio  MS Excel   Pivot Table  Reporting Tools  SSRS  Tableau  Crystal Reports  Web   XCelsius Others   Tools  Rational Quality Manager 4 6  Clear Quest 8  Rational Rose  Software  Microsoft Office  SAP Net Weaver  Business Objects  Visio  Software Development Life Cycle  Agile  Waterfall    
473,  am a Math Research Professional and Software Developer with several years of experience working in Pure & Applied Mathematics as well as Algorithmic Development   spent most of my career as a Math        Researcher understanding the intricacies of chaos in dynamical systems  have also worked researc     
474,Nothing is more fun than working throughout the full life of data  from Python and Unix to parse data to RDBMS to house data to Tableau and R to display and analyze it  also enjoy efficiently delivering decision makers with data through AP  calls  web development  ETL development  and data parsing ills o Javao C  o Pythono Perlo PHPo Linux Basho SQLo Ro Go   
475,Passionate statistical data scientist with demonstrated experience utilizing machine learning to create predictive models and actionable insights oftware  Python  R  Git  Bash  SQL  JavaFavorite packages  pandas  sklearn  dplyr  lubridate  glment  caret  tidyrMethods  gradient boosted trees  penalized regression  latent dirichlet allocation  random forests  functional data analysis  PCA  kmeans   
476, nsightful Data scientist with extensive experience in analyzing business processes  technical issues  and implementing optimal technology solutions to support business goals and strategies reative and tenacious problem solver involved in all stages of technology projects from analysis  planning and design through deployment  support  testing and documentation  strong ability for adapting quickly to technology changes  and successfully taking on new tasks and challenges  
478,  am currently part of the Big Data program at the World Bank  am also a visiting scholar at NYU Computer Science and at the Northeastern Network Science  nstitute  a fellow at the Harvard  nstitute        for Quantitative Social Science  and a senior research affiliate at Data Pop Alliance   
479,Data scientist experienced with working in startups  machine learning  statistics  and management   
480,  am a data scientist interested in taking on large and challenging problems  finding useful information        hidden in the data  and using these insights to drive improvements via creative solutions   
482,Serena s passion lies in data science and analytics focused on statistics  big data  machine learning and data driven business insights he has worked on A B testing  personalization  digital marketing and CRM using machine learning and big data techniques er job has helped the company evaluate performance  assist decision making  improve business and optimize revenue er favorite tools include but not limited to SQL Hive  Python  R  Spark  Hadoop  Matlab  Tableau  Google Analytics fore joining the industry  Serena got a PhD in Physical Oceanography  with Master s degrees in Applied Mathematics and Computational Finance from University of Washington at Seattle  
483,Experienced mathematical statistical and optimization modeler and data scientist with strong interpersonal skills roven ability to work effectively with people of various ages and cultural backgrounds xcellent analytical and problem solving abilities ell developed programming skills such as C    Python  R  SQL  VBA  MATLAB  CPLEX  and Tableau  
484,  am currently a Graduate student at Northeastern University  pursuing my Masters in Computer Science  have 2 years of industry experience in Financial Data warehousing at a leading global consultancy firm  Tata Consultancy Services orked for global Clients like CitiBank  as a client of Tata Consultancy Services   have sound exposure to collateral mortgages and banking cards modules  have extensive business side knowledge regarding these two banking modules  Tata Consultancy Services    worked for major financial clients like CitiBank  specialized in Bank Cards  Ready Credits  Loans and Mortgages modules y work mainly involved Slicing and Dicing datasets  creating DataMarts for downstream applications  developing Teradata BTEQ  MuliLoad  FastLoad Scripts  Stored Procedures in PL SQL and processing   Cleansing   and Loading raw data received from heterogeneous sources like Mainframe files   XMLs   AP s   etc to staging tables he projects were followed Agile Design process and   had to attend daily Scrum meetings  Northeastern University    am pursuing my interest in data analytics and working towards building a profile in  nformation Retrieval and Machine Learning chnical Skills Languages  Python JAVA  C  C    Scheme  R  SQL  Bash  ScalaTools   BM DataStage   nformatica  Winscp   BM Rational Team Concert  Putty  Eclipse  Racket  PyCharm  Git  MS Office  NetBeansDatabase  Oracle  MySQL  SAP HANA  SQLiteProgramming framework  Apache Hadoop  SparkOperating Systems  Window  Unix  LinuxCloud Services  Amazon Web Services  AWS  including Simple Storage Service  S3   Elastic MapReduce  EMR   Elastic Cloud Compute  EC2 Areas of interest    nformation Retrieval  Machine Learning  Data Analytics  Data Mining  Database Management  Data warehousing  Teradata   nformatica  DataStage  BTEQ  Financial Datawarehousing   
486,Experienced data science analytics professional with extensive knowledge on predictive modelling  big data architecture  machine learning  experiment design  channels &markets analytics  enjoy applying analytical thinking to solving complex business problems and learning state of art technologies to tackle new challenges Projects   have done in the past * Real time predictive modelling and product recommender systems* Customer LTV prediction * Uplift modelling and campaign targeting * Customer segmentation and cluster analysis * Payment likelihood modelling* Logistics network planning and optimization * Search engine optimization * Marketing Mix Models * Multivariate testing design and analysis  A B testing* Service level prediction and analysis Additionally    am an avid traveler  violinist and hiker  who is passionate about creating positive impact to the world  
487,My latest book  Big Data Architecture and Algorithm in Action   the  mplementation in E Commerce Systems  has been published on June 2017 in China  which is the sequel of my last book named         Using Big Data to Build Your Business  he new book focuses on the practical implementation for b     
488,Computer Science Researcher Developer  
491,  am a data scientist at Microsoft Analysis and Experimentation team y main interests are quantitative analytics  machine learning  data science and optimization mputer Skills  Python  SQL  R  Spark  Hive  Scala and etc ecialties   Optimization  Machine Learning  Game Theory  Data Science  Wireless Communications  EconomicsKey Characteristics  Proactive  Open minded  Quick Learner   
492,Specialties    Data Mining  Big Data  Machine Learning  R  Python scikit  Random Forest  Boosted Trees  Support Vector Machine  Logistic Regression    Naïve Bayes  Feature Selection  and Dimensionality Reduction  Deep Learning and Neural Networks  Bagging and Boosting  Ensemble and Stacking Methods   
493,Machine learning  advanced analytics  and databending Data science enables me to better understand and predict the behavior of complex systems   enjoy random walks  simplifying        assumptions  and minimizing entropy while   succeed = try       
494,Data Scientist working on Machine learning optimization with a demonstrated history of working in the internet industry killed in Python and R quipped with Financial modeling and strong Corporate finance background asters and Bachelors of Technology focused in Civil Engineering from  ndian  nstitute of Technology  Madras   
496,  use machine learning and statistical methods to understand how people see in the natural        environment urrently    am a Fellow at  nsight Data Science   
497,  love data and coding  work for Foursquare   
498,Passionate about Artificial  ntelligence  
501,Hey there     m both an experienced Data Scientist and Educator Previously    was a Data Scientist on the Quantitative Research and Analytics team at Allstate  nsurance Company for 4 years  where   tackled a variety of problems  such as fraud modeling  cross sell prediction  pricing  agent placement optimization  and telematics algorithm creation As an Educator    was a Data Science Lead  nstructor  Director of Data Science  and VP of Educational Design at Galvanize   am results driven  focused  energetic  creative  and a good communicator  all that teaching definitely helped   Having studied statistics and business and holding mostly quantitative jobs since   was 18  analytics is deep in my bones  deep in my wiring   believe that my analytical thinking  creativity  business sense  drive for results  and leadership skills can help companies become more *data driven*  Presently    am doing lots of self studying  serving as a data science mentor with Springboard  and working with Enki m on data curriculum and education analytics After thinking a ton about education in data science and software development for the past 3 years at Galvanize  it s really refreshing to be on these other sides   n the meantime    am open to pursuing roles in Data Science and you can contact me at tammyclee gmail m   
503,Data Scientist with a strong background in statistical modeling  programming  data structures and        algorithms  passionate about working with complex data to generate actionable recommendations   
504,Data Science Enthusiast  
505,Experienced Analytics and Data Science professional  specialized in Web Analytics with proven skills in extracting actionable insights on consumer behavior xpertise in Experimentation or A B testing  Predictive Modelling  Multi touch attribution  Customer profiling  Product optimization n inspirational leader  a trusted business partner who can quickly establish credibility through consistent high quality result oriented analyses and insightsTools  R  SQL  H VE  Linux  Omniture Site Catalyst  Advanced Microsoft Excel  Visualization Tools  Tableau  Spotfire    
506,Passionate  detail oriented professional spiring Data scientist with a reputation for building optimized machine learning models  and understanding the mathematical intricacies  good hands on        experience in working with Neural Nets   
508,Data scientist with an extensive background in the full life cycle of software development process       Experience in major programming languages and technologies   
510,Ph  Candidate in Statistics with ongoing Master s degree in Computer Science  interested in pursuing Data Scientist  Machine Learning Engineer  and Software Developer career opportunities  4  years of experience in Statistics  Data Science  and Machine Learning  experiences in insurance industries  Fraud detection  NLP  pertise in statistical machine learning with large scale datasets  linear model  GLM  clustering  classification  network data analysis  bagging and boosting methods  decision tree  random forest  times series analysis  neural networks including convolutional neural network  recurrent neural network  LSTM  GAN  and variational inference  natural language processing methods  text mining  etc ta driven analytic ability  quantitative thinking  and problem solving skills oficiency in a suite of statistical and office software  R  Python  Pandas Numpy Sklearn NLTK   Java  Matlab  Spark  Hadoop  MXNet  PyTorch  and Linux Command Line  
511,Five years professional experience as a project manager and sales engineer at China Mobile  world’s largest mobile telecommunications company xtensive research experience in embedded systems  intelligent control  image processing  database management and bio signal analysis wo patents on computer vision   and  R based touch screen applications rofound knowledge in biomedical and electrical engineering dvanced skills in machine learning  
512,  am a dedicated Data Scientist aiming to reduce information asymmetry and empower people to make informed decisions  am passionate about delivering product insights and business values from large scale datasets y PhD research was in the intersection of data mining and visualization  social media analytics  and understanding human behaviors in online and blended learning environments  addition    am well versed with product development cycle and qualitative UX research methods  have great experiences working in multi disciplinary  multi institutional  and multi cultural teams  where   honed my skills of effective communication   
513,  Years of experience with programming  machine learning  statistical model development  and big data  Strong background in data structure  algorithm  and object oriented analysis and design skills   Programing Language  Java  Scala  Spark  Scalding  Python  C C    Bash  R  MATLAB  groovy  SQL  HTML   Machine Learning Statistical Models  GLM  Naïve Bayes  SVM  Gaussian Discriminant Analysis  EM   CM Algorithm  decision tree  Bayes Network  Hidden Markov Model  MCMC  etc Big Data Ecosystem  Hadoop  Map Reduce  Scalding  Hive  Oozie  Framework Tools  Spring  Tomcat  Gradle  Mercurial  Git  Academic accomplishments include over 10 publications   
514,  am a multi disciplinary engineer that enjoys predictive modeling and communicating my results y background is in Mechanical Engineering  with a focus on Mechatronics and Robotics  weapons of choice Python  BASH  MATLAB  C  AWS    S3  EC2   Selenium BeautifulSoup  PostgreSQL RedShift  MongoDB r visualizations     enjoy the simplicity and ease of using Tableau  but can also get by with D3  Bokeh  share my thoughts on my blog at   jasdoit mExcited by the potential of a combination of  nternet of Things   oT  and Blockchains  addition    have experience with 1 nterfacing Hardware with Software having completed automation projects for companies independently Robotic Process Automation  RPA  Consulting  Assembling Mining Rigs to mine Cryptocurrencies  
518,Yimin Yang is a Computer Science Ph  with over 10 years of academic and 4 years of industrial R&D experience in multiple domains  such as machine learning  deep learning  and computer vision he        has published over 20 research papers in international journals and conferences   
520,Data scientist with deep modeling expertise and problem solving skill nderstand big data system and        find business oriented solution to make analytic project successful   
521,Data Scientist specialized in Machine Learning  Deep learning and Operation Optimization with a focus on computer vision  data visualization  statistics probability  and end to end ML model development  nitiative  detail oriented and highly analytical with strong problem solving skills Team player  fast learner and able to work on multiple projects Outstanding communication and presentation skills with various teams and managers  self motivated in a quickly changing environment Programming  Python  R  SQL  Tableau  C C    etc Packages in Python  Tensorflow  Keras  Scikit learn  Scipy  Pandas  Matplotlib  Open CV  etc Deep learning network  CNN  RNN  Transfer learning  Object detection  t SNE  etc  Data Analytic skills  Data Mining  Clustering  Association Analysis  Classification Regression and Prediction  
522,Solid background in statistics  biology and data science  Experienced in machine learning  modeling  data visualization  NLP and computer simulations PhD in Computational Biology and Master in Statistics Proficient in R  Python and SAS   familiar with Matlab  JMP  Shell Script  SQL  MongoDB  Hive  Shiny  Markdown  Tableau  Hadoop  Spark  AWS  Git  
523,  have a master degree of Data Science at Columbia University  with multi background in Business  Economics  Mathematics and Computer Science  m now working as a Data Scientist at 4Paradigm Co Ltd am comfortable with coding and modeling in Python  SQL and R  and am familiar with Spark  took part in two data science hackathons and five data science projects and did several data analytics projects in Technology  Finance  and  nsurance industry  also have experience in Machine Learning  Data Analysis  Data Visualization  Time Series Analysis  Statistical Analysis and Modeling  and etc  you are interested in my experiences  please contact me at yw2812 columbia u  
524,4  year of experience building data pipelines  analytics tools  and visualizations pecialized in leading and conducting deep dive studies and data science projects   am dedicated to apply my data science        knowledge and engineering skills to access  understand and communicate insights from enormous d     
526,Applied econometrics and statistical machine learning professional with a solid computer science        background  
527,Recently graduated from the Master of Science in  ndustrial Engineering program at Columbia University urrently   work in the Big Data Retail industry as an Analyst at 1010data and develop        Python software for a Biotech startup Prior to this    held internship positions in Analytics at 1010dat     
528,  m a statistician with a passion for machine learning and predictive analytics  and am currently working        as a data scientist at a clinical research team at Montefiore hospital   
529,A data scientist and software engineer with twenty years  experience in various technology roles at        startups in digital and TV advertising   
